4114	NtGdiClearBitmapAttributes
4115	NtGdiClearBrushAttributes
4116	NtGdiColorCorrectPalette
4117	NtGdiCombineRgn
4118	NtGdiCombineTransform
4119	NtGdiComputeXformCoefficients
4120	NtGdiConfigureOPMProtectedOutput
4121	NtGdiConvertMetafileRect
4122	NtGdiCreateBitmap
4123	NtGdiCreateBitmapFromDxSurface
4124	NtGdiCreateClientObj
4125	NtGdiCreateColorSpace
4126	NtGdiCreateColorTransform
4127	NtGdiCreateCompatibleBitmap
4128	NtGdiCreateCompatibleDC
4129	NtGdiCreateDIBBrush
4130	NtGdiCreateDIBitmapInternal
4131	NtGdiCreateDIBSection
4132	NtGdiCreateEllipticRgn
4133	NtGdiCreateHalftonePalette
4134	NtGdiCreateHatchBrushInternal
4135	NtGdiCreateMetafileDC
4136	NtGdiCreateOPMProtectedOutputs
4137	NtGdiCreatePaletteInternal
4138	NtGdiCreatePatternBrushInternal
4139	NtGdiCreatePen
4140	NtGdiCreateRectRgn
4141	NtGdiCreateRoundRectRgn
4142	NtGdiCreateServerMetaFile
4143	NtGdiCreateSolidBrush
4144	NtGdiD3dContextCreate
4145	NtGdiD3dContextDestroy
4146	NtGdiD3dContextDestroyAll
4147	NtGdiD3dValidateTextureStageState
4148	NtGdiD3dDrawPrimitives2
4149	NtGdiDdGetDriverState
4150	NtGdiDdAddAttachedSurface
4151	NtGdiDdAlphaBlt
4152	NtGdiDdAttachSurface
4153	NtGdiDdBeginMoCompFrame
4154	NtGdiDdBlt
4155	NtGdiDdCanCreateSurface
4156	NtGdiDdCanCreateD3DBuffer
4157	NtGdiDdColorControl
4158	NtGdiDdCreateDirectDrawObject
4159	NtGdiDdCreateSurface
4160	NtGdiDdCreateD3DBuffer
4161	NtGdiDdCreateMoComp
4162	NtGdiDdCreateSurfaceObject
4163	NtGdiDdDeleteDirectDrawObject
4164	NtGdiDdDeleteSurfaceObject
4165	NtGdiDdDestroyMoComp
4166	NtGdiDdDestroySurface
4167	NtGdiDdDestroyD3DBuffer
4168	NtGdiDdEndMoCompFrame
4169	NtGdiDdFlip
4170	NtGdiDdFlipToGDISurface
4171	NtGdiDdGetAvailDriverMemory
4172	NtGdiDdGetBltStatus
4173	NtGdiDdGetDC
4174	NtGdiDdGetDriverInfo
4175	NtGdiDdGetDxHandle
4176	NtGdiDdGetFlipStatus
4177	NtGdiDdGetInternalMoCompInfo
4178	NtGdiDdGetMoCompBuffInfo
4179	NtGdiDdGetMoCompGuids
4180	NtGdiDdGetMoCompFormats
4181	NtGdiDdGetScanLine
4182	NtGdiDdLock
4183	NtGdiDdLockD3D
4184	NtGdiDdQueryDirectDrawObject
4185	NtGdiDdQueryMoCompStatus
4186	NtGdiDdReenableDirectDrawObject
4187	NtGdiDdReleaseDC
4188	NtGdiDdRenderMoComp
4189	NtGdiDdResetVisrgn
4190	NtGdiDdSetColorKey
4191	NtGdiDdSetExclusiveMode
4192	NtGdiDdSetGammaRamp
4193	NtGdiDdCreateSurfaceEx
4194	NtGdiDdSetOverlayPosition
4195	NtGdiDdUnattachSurface
4196	NtGdiDdUnlock
4197	NtGdiDdUnlockD3D
4198	NtGdiDdUpdateOverlay
4199	NtGdiDdWaitForVerticalBlank
4200	NtGdiDvpCanCreateVideoPort
